step,x,y,r,phi
506,66.4871,-3.13042,66.5608,-0.0470484
507,66.8531,-2.73381,66.909,-0.04087
508,67.2182,-2.33715,67.2589,-0.0347555
509,67.5824,-1.94045,67.6103,-0.0287045
510,67.9458,-1.54378,67.9633,-0.0227168
511,68.3083,-1.14705,68.3179,-0.0167907
512,68.6699,-0.750323,68.674,-0.0109261
513,69.0308,-0.35358,69.0317,-0.00512201
514,69.3908,0.043126,69.3908,0.000621494
515,69.7501,0.439874,69.7515,0.00630635
516,70.1086,0.83658,70.1136,0.0119321
517,70.4663,1.23329,70.4771,0.0175001
518,70.8233,1.63,70.8421,0.0230109
519,71.1796,2.02671,71.2085,0.0284654
520,71.5352,2.42337,71.5762,0.0338637
521,71.8901,2.82002,71.9453,0.0392067
522,72.2443,3.21662,72.3158,0.0444948
523,72.5978,3.61323,72.6877,0.0497295
524,72.9507,4.00981,73.0608,0.0549108
525,73.3029,4.40635,73.4353,0.0600392
526,73.6546,4.80282,73.811,0.0651152
527,74.0056,5.19921,74.188,0.0701391
528,74.356,5.59563,74.5663,0.075113
529,74.7059,5.99198,74.9458,0.0800363
530,75.0551,6.38833,75.3265,0.0849106
531,75.4038,6.78449,75.7084,0.0897338
532,75.752,7.18066,76.0916,0.0945093
533,76.0996,7.57679,76.4758,0.0992371
534,76.4467,7.97285,76.8613,0.103917
535,76.7933,8.36879,77.2479,0.10855
536,77.1393,8.76488,77.6357,0.113139
537,77.4849,9.16081,78.0245,0.117681
538,77.83,9.55669,78.4145,0.122178
539,78.1746,9.95246,78.8056,0.12663
540,78.5187,10.3482,79.1977,0.131038
541,78.8624,10.7439,79.5909,0.135403
542,79.2056,11.1396,79.9851,0.139725
543,79.5484,11.5351,80.3804,0.144004
544,79.8908,11.9307,80.7767,0.148242
545,80.2327,12.3261,81.174,0.152438
546,80.5742,12.7215,81.5723,0.156593
547,80.9154,13.1168,81.9716,0.160708
548,81.2561,13.5121,82.3719,0.164782
549,81.5964,13.9072,82.7731,0.168817
550,81.9364,14.3023,83.1753,0.172813
551,82.276,14.6974,83.5784,0.176771
552,82.6152,15.0924,83.9824,0.18069
553,82.954,15.4873,84.3874,0.184573
554,83.2925,15.8822,84.7932,0.188418
555,83.6307,16.277,85.2,0.192227
556,83.9685,16.6717,85.6076,0.195998
557,84.306,17.0664,86.0161,0.199734
558,84.6432,17.461,86.4254,0.203436
559,84.98,17.8555,86.8356,0.207102
560,85.3165,18.25,87.2466,0.210733
561,85.6528,18.6444,87.6585,0.214331
562,85.9887,19.0387,88.0712,0.217895
563,86.3243,19.433,88.4846,0.221425
564,86.6597,19.8272,88.8989,0.224923
565,86.9947,20.2214,89.314,0.228388
566,87.3295,20.6155,89.7298,0.231821
567,87.664,21.0095,90.1464,0.235223
568,87.9983,21.4034,90.5638,0.238592
569,88.3322,21.7973,90.9819,0.241932
570,88.666,22.1911,91.4008,0.24524
571,88.9994,22.5849,91.8203,0.248519
572,89.3327,22.9786,92.2407,0.251767
573,89.6656,23.3722,92.6617,0.254986
574,89.9984,23.7658,93.0834,0.258176
575,90.3309,24.1593,93.5058,0.261336
576,90.6632,24.5527,93.9289,0.264469
577,90.9952,24.9461,94.3527,0.267574
578,91.327,25.3394,94.7772,0.27065
579,91.6587,25.7327,95.2023,0.273699
580,91.9901,26.1258,95.6281,0.276721
581,92.3213,26.519,96.0545,0.279716
582,92.6523,26.9121,96.4816,0.282685
583,92.983,27.3051,96.9093,0.285628
584,93.3136,27.6981,97.3376,0.288544
585,93.644,28.091,97.7666,0.291435
586,93.9742,28.4838,98.1962,0.294301
587,94.3043,28.8766,98.6263,0.297141
588,94.6341,29.2693,99.0571,0.299957
589,94.9638,29.662,99.4885,0.302749
590,95.2932,30.0547,99.9204,0.305517
591,95.6225,30.4473,100.353,0.308261
